Company_Symbol,Year,Total_Board_Meetings_Per_Year,Company_Overall_Attendance,Total_Should_Attend,Company_Overall_Attendance_Percentage
BSBM,2022,12,84,108,77.78
BSBM,2023,12,82,108,75.93
BSBM,2024,12,85,108,78.7
BSBM,2025,13,82,107,76.64
BSBM,2026,N/A,N/A,N/A,N/A
BSM,2021,N/A,N/A,N/A,N/A
BSM,2022,4,31,36,86.11
BSM,2023,N/A,N/A,N/A,N/A
BSM,2024,4,27,27,100.0
BSM,2025,N/A,N/A,N/A,N/A
BSM,2026,N/A,N/A,N/A,N/A
BTC,2021,N/A,N/A,N/A,N/A
BTC,2022,7,70,70,100.0
BTC,2023,N/A,N/A,N/A,N/A
BTC,2024,N/A,N/A,N/A,N/A
BTC,2025,N/A,N/A,N/A,N/A
BTC,2026,N/A,N/A,N/A,N/A
BTG,2021,N/A,N/A,N/A,N/A
BTG,2022,14,154,155,99.35
BTG,2023,11,120,121,99.17
BTG,2024,11,115,121,95.04
BTG,2025,9,99,99,100.0
BTG,2026,N/A,N/A,N/A,N/A
BTNC,2021,N/A,N/A,N/A,N/A
BTNC,2022,11,91,102,89.22
BTNC,2023,6,47,53,88.68
BTNC,2024,5,39,42,92.86
BTNC,2025,N/A,N/A,N/A,N/A
BTNC,2026,N/A,N/A,N/A,N/A
BTS,2021,N/A,N/A,N/A,N/A
BTS,2022,N/A,N/A,N/A,N/A
BTS,2023,8,95,96,98.96
BTS,2024,11,117,123,95.12
BTS,2025,11,115,121,95.04
BTS,2026,N/A,N/A,N/A,N/A
BTW,2021,N/A,N/A,N/A,N/A
BTW,2022,6,36,36,100.0
BTW,2023,8,53,54,98.15
BTW,2024,9,56,58,96.55
BTW,2025,8,48,48,100.0
BTW,2026,N/A,N/A,N/A,N/A
BUI,2021,N/A,N/A,N/A,N/A
BUI,2022,5,50,50,100.0
BUI,2023,5,50,50,100.0
BUI,2024,5,48,50,96.0
BUI,2025,N/A,N/A,N/A,N/A
BUI,2026,N/A,N/A,N/A,N/A
BVG,2021,N/A,N/A,N/A,N/A
BVG,2022,6,42,42,100.0
BVG,2023,5,35,35,100.0
BVG,2024,6,41,41,100.0
BVG,2025,N/A,N/A,N/A,N/A
BVG,2026,N/A,N/A,N/A,N/A
BWG,2021,N/A,N/A,N/A,N/A
BWG,2022,5,45,45,100.0
BWG,2023,7,63,63,100.0
BWG,2024,6,54,60,90.0
BWG,2025,8,72,72,100.0
BWG,2026,N/A,N/A,N/A,N/A
BYD,2021,N/A,N/A,N/A,N/A
BYD,2022,12,84,85,98.82
BYD,2023,11,75,77,97.4
BYD,2024,14,105,107,98.13
BYD,2025,17,132,136,97.06
BYD,2026,N/A,N/A,N/A,N/A
B,2021,N/A,N/A,N/A,N/A
B,2022,3,24,27,88.89
B,2023,16,120,128,93.75
B,2024,11,84,99,84.85
B,2025,8,63,64,98.44
B,2026,N/A,N/A,N/A,N/A
CAZ,2021,N/A,N/A,N/A,N/A
CAZ,2022,5,44,45,97.78
CAZ,2023,8,64,65,98.46
CAZ,2024,9,75,80,93.75
CAZ,2025,23,185,192,96.35
CAZ,2026,N/A,N/A,N/A,N/A
CBG,2021,N/A,N/A,N/A,N/A
CBG,2022,6,75,78,96.15
CBG,2023,5,64,64,100.0
CBG,2024,5,63,63,100.0
CBG,2025,5,69,69,100.0
CBG,2026,N/A,N/A,N/A,N/A
CCET,2021,N/A,N/A,N/A,N/A
CCET,2022,6,64,66,96.97
CCET,2023,4,42,44,95.45
CCET,2024,4,41,44,93.18
CCET,2025,4,40,44,90.91
CCET,2026,N/A,N/A,N/A,N/A
CCP,2021,N/A,N/A,N/A,N/A
CCP,2022,4,31,31,100.0
CCP,2023,4,28,28,100.0
CCP,2024,4,29,29,100.0
CCP,2025,4,28,28,100.0
CCP,2026,N/A,N/A,N/A,N/A
CENTEL,2021,N/A,N/A,N/A,N/A
CENTEL,2022,4,51,51,100.0
CENTEL,2023,6,71,72,98.61
CENTEL,2024,6,67,69,97.1
CENTEL,2025,7,82,84,97.62
CENTEL,2026,N/A,N/A,N/A,N/A
CEN,2021,N/A,N/A,N/A,N/A
CEN,2022,6,41,48,85.42
CEN,2023,7,50,77,64.94
CEN,2024,5,42,50,84.0
CEN,2025,5,42,44,95.45
CEN,2026,N/A,N/A,N/A,N/A
CEYE,2021,N/A,N/A,N/A,N/A
CEYE,2022,5,34,35,97.14
CEYE,2023,5,34,35,97.14
CEYE,2024,5,35,35,100.0
CEYE,2025,6,40,42,95.24
CEYE,2026,N/A,N/A,N/A,N/A
CFRESH,2021,N/A,N/A,N/A,N/A
CFRESH,2022,10,90,90,100.0
CFRESH,2023,10,90,90,100.0
CFRESH,2024,10,86,100,86.0
CFRESH,2025,10,90,90,100.0
CFRESH,2026,N/A,N/A,N/A,N/A
CGD,2021,N/A,N/A,N/A,N/A
CGD,2022,7,56,77,72.73
CGD,2023,9,76,89,85.39
CGD,2024,7,58,63,92.06
CGD,2025,N/A,N/A,N/A,N/A
CGD,2026,N/A,N/A,N/A,N/A
CGH,2021,N/A,N/A,N/A,N/A
CGH,2022,N/A,N/A,N/A,N/A
CGH,2023,7,63,63,100.0
CGH,2024,7,63,63,100.0
CGH,2025,7,63,63,100.0
CGH,2026,N/A,N/A,N/A,N/A
CHARAN,2021,N/A,N/A,N/A,N/A
CHARAN,2022,5,33,40,82.5
CHARAN,2023,5,28,28,100.0
CHARAN,2024,4,26,28,92.86
CHARAN,2025,N/A,N/A,N/A,N/A
CHARAN,2026,N/A,N/A,N/A,N/A
CHASE,2021,N/A,N/A,N/A,N/A
CHASE,2022,6,54,54,100.0
CHASE,2023,6,54,54,100.0
CHASE,2024,4,35,36,97.22
CHASE,2025,4,34,36,94.44
CHASE,2026,N/A,N/A,N/A,N/A
CHAYO,2021,N/A,N/A,N/A,N/A
CHAYO,2022,N/A,N/A,N/A,N/A
CHAYO,2023,8,64,72,88.89
CHAYO,2024,8,70,72,97.22
CHAYO,2025,N/A,N/A,N/A,N/A
CHAYO,2026,N/A,N/A,N/A,N/A
CHEWA,2021,N/A,N/A,N/A,N/A
CHEWA,2022,6,42,42,100.0
CHEWA,2023,N/A,N/A,N/A,N/A
CHEWA,2024,6,40,40,100.0
CHEWA,2025,6,36,36,100.0
CHEWA,2026,N/A,N/A,N/A,N/A
CHG,2021,N/A,N/A,N/A,N/A
CHG,2022,6,75,75,100.0
CHG,2023,6,72,72,100.0
CHG,2024,6,71,71,100.0
CHG,2025,N/A,N/A,N/A,N/A
CHG,2026,N/A,N/A,N/A,N/A
CHIC,2021,N/A,N/A,N/A,N/A
CHIC,2022,7,49,49,100.0
CHIC,2023,8,56,56,100.0
CHIC,2024,11,85,85,100.0
CHIC,2025,6,50,52,96.15
CHIC,2026,N/A,N/A,N/A,N/A
CHOTI,2021,N/A,N/A,N/A,N/A
CHOTI,2022,N/A,N/A,N/A,N/A
CHOTI,2023,6,52,60,86.67
CHOTI,2024,8,68,73,93.15
CHOTI,2025,4,34,36,94.44
CHOTI,2026,N/A,N/A,N/A,N/A
CHOW,2021,N/A,N/A,N/A,N/A
CHOW,2022,4,39,40,97.5
CHOW,2023,4,40,40,100.0
CHOW,2024,4,37,37,100.0
CHOW,2025,4,34,36,94.44
CHOW,2026,N/A,N/A,N/A,N/A
CHO,2021,N/A,N/A,N/A,N/A
CHO,2022,9,62,63,98.41
CHO,2023,10,66,74,89.19
CHO,2024,12,89,99,89.9
CHO,2025,10,66,68,97.06
CHO,2026,N/A,N/A,N/A,N/A
CH,2021,N/A,N/A,N/A,N/A
CH,2022,N/A,N/A,N/A,N/A
CH,2023,5,52,55,94.55
CH,2024,5,53,53,100.0
CH,2025,6,61,72,84.72
CH,2026,N/A,N/A,N/A,N/A
CIG,2021,N/A,N/A,N/A,N/A
CIG,2022,10,88,91,96.7
CIG,2023,20,191,199,95.98
CIG,2024,7,67,68,98.53
CIG,2025,11,97,105,92.38
CIG,2026,N/A,N/A,N/A,N/A
CIMBT,2021,N/A,N/A,N/A,N/A
CIMBT,2022,N/A,N/A,N/A,N/A
CIMBT,2023,12,97,99,97.98
CIMBT,2024,14,107,107,100.0
CIMBT,2025,14,103,108,95.37
CIMBT,2026,N/A,N/A,N/A,N/A
CITY,2021,N/A,N/A,N/A,N/A
CITY,2022,N/A,N/A,N/A,N/A
CITY,2023,4,24,24,100.0
CITY,2024,4,24,24,100.0
CITY,2025,4,24,24,100.0
CITY,2026,N/A,N/A,N/A,N/A
CIVIL,2021,N/A,N/A,N/A,N/A
CIVIL,2022,8,62,62,100.0
CIVIL,2023,6,42,42,100.0
CIVIL,2024,5,35,35,100.0
CIVIL,2025,5,35,35,100.0
CIVIL,2026,N/A,N/A,N/A,N/A
CI,2021,N/A,N/A,N/A,N/A
CI,2022,8,72,72,100.0
CI,2023,10,88,89,98.88
CI,2024,8,72,72,100.0
CI,2025,8,70,72,97.22
CI,2026,N/A,N/A,N/A,N/A
CKP,2021,N/A,N/A,N/A,N/A
CKP,2022,7,75,76,98.68
CKP,2023,7,73,77,94.81
CKP,2024,7,77,77,100.0
CKP,2025,N/A,N/A,N/A,N/A
CKP,2026,N/A,N/A,N/A,N/A
CK,2021,N/A,N/A,N/A,N/A
CK,2022,8,76,77,98.7
CK,2023,6,60,60,100.0
CK,2024,7,75,75,100.0
CK,2025,6,66,66,100.0
CK,2026,N/A,N/A,N/A,N/A
CMAN,2021,N/A,N/A,N/A,N/A
CMAN,2022,10,88,90,97.78
CMAN,2023,8,71,72,98.61
CMAN,2024,9,79,81,97.53
CMAN,2025,10,89,90,98.89
CMAN,2026,N/A,N/A,N/A,N/A
CMC,2021,N/A,N/A,N/A,N/A
CMC,2022,6,56,60,93.33
CMC,2023,5,40,40,100.0
CMC,2024,8,70,80,87.5
CMC,2025,7,60,63,95.24
CMC,2026,N/A,N/A,N/A,N/A
CMO,2021,N/A,N/A,N/A,N/A
CMO,2022,11,69,72,95.83
CMO,2023,10,58,62,93.55
CMO,2024,10,73,74,98.65
CMO,2025,3,85,86,98.84
CMO,2026,N/A,N/A,N/A,N/A
CMR,2021,N/A,N/A,N/A,N/A
CMR,2022,N/A,N/A,N/A,N/A
CMR,2023,5,60,60,100.0
CMR,2024,4,44,60,73.33
CMR,2025,N/A,N/A,N/A,N/A
CMR,2026,N/A,N/A,N/A,N/A
CM,2021,N/A,N/A,N/A,N/A
CM,2022,7,56,56,100.0
CM,2023,9,80,86,93.02
CM,2024,7,68,70,97.14
CM,2025,6,52,60,86.67
CM,2026,N/A,N/A,N/A,N/A
CNT,2021,N/A,N/A,N/A,N/A
CNT,2022,6,67,71,94.37
CNT,2023,7,72,74,97.3
CNT,2024,6,59,60,98.33
CNT,2025,6,59,60,98.33
CNT,2026,N/A,N/A,N/A,N/A
COCOCO,2021,N/A,N/A,N/A,N/A
COCOCO,2022,N/A,N/A,N/A,N/A
COCOCO,2023,16,111,112,99.11
COCOCO,2024,9,60,63,95.24
COCOCO,2025,9,61,63,96.83
COCOCO,2026,N/A,N/A,N/A,N/A
COLOR,2021,N/A,N/A,N/A,N/A
COLOR,2022,4,35,36,97.22
COLOR,2023,4,36,36,100.0
COLOR,2024,4,35,36,97.22
COLOR,2025,4,36,36,100.0
COLOR,2026,N/A,N/A,N/A,N/A
COM7,2021,N/A,N/A,N/A,N/A
COM7,2022,12,83,84,98.81
COM7,2023,7,49,49,100.0
COM7,2024,10,70,70,100.0
COM7,2025,11,76,76,100.0
COM7,2026,N/A,N/A,N/A,N/A
COMAN,2021,N/A,N/A,N/A,N/A
COMAN,2022,6,29,30,96.67
COMAN,2023,4,22,22,100.0
COMAN,2024,7,40,40,100.0
COMAN,2025,7,44,44,100.0
COMAN,2026,N/A,N/A,N/A,N/A
CPALL,2021,N/A,N/A,N/A,N/A
CPALL,2022,8,121,128,94.53
CPALL,2023,9,134,142,94.37
CPALL,2024,8,125,127,98.43
CPALL,2025,7,109,112,97.32
CPALL,2026,N/A,N/A,N/A,N/A
CPANEL,2021,N/A,N/A,N/A,N/A
CPANEL,2022,4,35,36,97.22
CPANEL,2023,4,36,36,100.0
CPANEL,2024,4,35,36,97.22
CPANEL,2025,N/A,N/A,N/A,N/A
CPANEL,2026,N/A,N/A,N/A,N/A
CPF,2021,N/A,N/A,N/A,N/A
CPF,2022,9,133,134,99.25
CPF,2023,8,116,118,98.31
CPF,2024,8,109,112,97.32
CPF,2025,10,143,149,95.97
CPF,2026,N/A,N/A,N/A,N/A
CPH,2021,N/A,N/A,N/A,N/A
CPH,2022,N/A,N/A,N/A,N/A
CPH,2023,N/A,N/A,N/A,N/A
CPH,2024,18,122,126,96.83
CPH,2025,N/A,N/A,N/A,N/A
CPH,2026,N/A,N/A,N/A,N/A
CPI,2021,N/A,N/A,N/A,N/A
CPI,2022,4,40,40,100.0
CPI,2023,4,40,40,100.0
CPI,2024,5,50,50,100.0
CPI,2025,4,38,40,95.0
CPI,2026,N/A,N/A,N/A,N/A
CPL,2021,N/A,N/A,N/A,N/A
CPL,2022,7,62,63,98.41
CPL,2023,7,63,63,100.0
CPL,2024,7,63,63,100.0
CPL,2025,N/A,N/A,N/A,N/A
CPL,2026,N/A,N/A,N/A,N/A
CPNREIT,2021,N/A,N/A,N/A,N/A
CPNREIT,2022,4,20,20,100.0
CPNREIT,2023,5,24,25,96.0
CPNREIT,2024,6,29,30,96.67
CPNREIT,2025,4,21,22,95.45
CPNREIT,2026,N/A,N/A,N/A,N/A
CPN,2021,N/A,N/A,N/A,N/A
CPN,2022,8,95,96,98.96
CPN,2023,8,92,96,95.83
CPN,2024,11,128,132,96.97
CPN,2025,8,93,96,96.88
CPN,2026,N/A,N/A,N/A,N/A
CPR,2021,N/A,N/A,N/A,N/A
CPR,2022,4,27,32,84.38
CPR,2023,N/A,N/A,N/A,N/A
CPR,2024,N/A,N/A,N/A,N/A
CPR,2025,N/A,N/A,N/A,N/A
CPR,2026,N/A,N/A,N/A,N/A
CPT,2021,N/A,N/A,N/A,N/A
CPT,2022,5,42,45,93.33
CPT,2023,4,30,32,93.75
CPT,2024,11,84,89,94.38
CPT,2025,14,99,106,93.4
CPT,2026,N/A,N/A,N/A,N/A
CPW,2021,N/A,N/A,N/A,N/A
CPW,2022,5,35,35,100.0
CPW,2023,6,42,42,100.0
CPW,2024,5,34,35,97.14
CPW,2025,N/A,N/A,N/A,N/A
CPW,2026,N/A,N/A,N/A,N/A
CRANE,2021,N/A,N/A,N/A,N/A
CRANE,2022,N/A,N/A,N/A,N/A
CRANE,2023,N/A,N/A,N/A,N/A
CRANE,2024,8,62,64,96.88
CRANE,2025,N/A,N/A,N/A,N/A
CRANE,2026,N/A,N/A,N/A,N/A
CRC,2021,N/A,N/A,N/A,N/A
CRC,2022,9,132,133,99.25
CRC,2023,9,133,135,98.52
CRC,2024,10,147,148,99.32
CRC,2025,9,146,149,97.99
CRC,2026,N/A,N/A,N/A,N/A
CRD,2021,N/A,N/A,N/A,N/A
CRD,2022,4,43,44,97.73
CRD,2023,4,41,44,93.18
CRD,2024,5,46,50,92.0
CRD,2025,4,36,36,100.0
CRD,2026,N/A,N/A,N/A,N/A
CREDIT,2021,N/A,N/A,N/A,N/A
CREDIT,2022,N/A,N/A,N/A,N/A
CREDIT,2023,14,126,126,100.0
CREDIT,2024,12,107,108,99.07
CREDIT,2025,12,107,108,99.07
CREDIT,2026,N/A,N/A,N/A,N/A
CSC,2021,N/A,N/A,N/A,N/A
CSC,2022,5,65,68,95.59
CSC,2023,5,62,68,91.18
CSC,2024,6,78,84,92.86
CSC,2025,5,59,62,95.16
CSC,2026,N/A,N/A,N/A,N/A
CSP,2021,N/A,N/A,N/A,N/A
CSP,2022,6,48,48,100.0
CSP,2023,5,38,40,95.0
CSP,2024,5,38,40,95.0
CSP,2025,5,39,40,97.5
CSP,2026,N/A,N/A,N/A,N/A
CSR,2021,N/A,N/A,N/A,N/A
CSR,2022,N/A,N/A,N/A,N/A
CSR,2023,N/A,N/A,N/A,N/A
CSR,2024,N/A,N/A,N/A,N/A
CSR,2025,N/A,N/A,N/A,N/A
CSR,2026,N/A,N/A,N/A,N/A
CSS,2021,N/A,N/A,N/A,N/A
CSS,2022,5,45,45,100.0
CSS,2023,7,62,63,98.41
CSS,2024,6,52,54,96.3
CSS,2025,6,54,54,100.0
CSS,2026,N/A,N/A,N/A,N/A
CTW,2021,N/A,N/A,N/A,N/A
CTW,2022,5,51,60,85.0
CTW,2023,4,42,47,89.36
CTW,2024,6,53,63,84.13
CTW,2025,4,38,41,92.68
CTW,2026,N/A,N/A,N/A,N/A
CV,2021,N/A,N/A,N/A,N/A
CV,2022,6,55,56,98.21
CV,2023,12,104,156,66.67
CV,2024,N/A,N/A,N/A,N/A
CV,2025,N/A,N/A,N/A,N/A
CV,2026,N/A,N/A,N/A,N/A
CWT,2021,N/A,N/A,N/A,N/A
CWT,2022,26,156,156,100.0
CWT,2023,17,95,97,97.94
CWT,2024,7,41,42,97.62
CWT,2025,N/A,N/A,N/A,N/A
CWT,2026,N/A,N/A,N/A,N/A
DCC,2021,N/A,N/A,N/A,N/A
DCC,2022,6,66,66,100.0
DCC,2023,6,66,66,100.0
DCC,2024,6,66,66,100.0
DCC,2025,6,65,66,98.48
DCC,2026,N/A,N/A,N/A,N/A
DCON,2021,N/A,N/A,N/A,N/A
DCON,2022,4,36,36,100.0
DCON,2023,5,38,60,63.33
DCON,2024,6,50,54,92.59
DCON,2025,N/A,N/A,N/A,N/A
DCON,2026,N/A,N/A,N/A,N/A
DDD,2021,N/A,N/A,N/A,N/A
DDD,2022,N/A,N/A,N/A,N/A
DDD,2023,7,59,63,93.65
DDD,2024,6,53,54,98.15
DDD,2025,6,51,53,96.23
DDD,2026,N/A,N/A,N/A,N/A
DELTA,2021,N/A,N/A,N/A,N/A
DELTA,2022,6,53,54,98.15
DELTA,2023,8,64,64,100.0
DELTA,2024,8,70,70,100.0
DELTA,2025,7,61,63,96.83
DELTA,2026,N/A,N/A,N/A,N/A
DEMCO,2021,N/A,N/A,N/A,N/A
DEMCO,2022,7,77,77,100.0
DEMCO,2023,8,80,85,94.12
DEMCO,2024,6,65,66,98.48
DEMCO,2025,6,70,70,100.0
DEMCO,2026,N/A,N/A,N/A,N/A
DEXON,2021,N/A,N/A,N/A,N/A
DEXON,2022,10,78,80,97.5
DEXON,2023,7,55,56,98.21
DEXON,2024,6,48,48,100.0
DEXON,2025,6,48,54,88.89
DEXON,2026,N/A,N/A,N/A,N/A
DHOUSE,2021,N/A,N/A,N/A,N/A
DHOUSE,2022,6,64,66,96.97
DHOUSE,2023,5,49,55,89.09
DHOUSE,2024,4,38,40,95.0
DHOUSE,2025,4,40,40,100.0
DHOUSE,2026,N/A,N/A,N/A,N/A
DIMET,2021,N/A,N/A,N/A,N/A
DIMET,2022,7,60,66,90.91
DIMET,2023,14,95,102,93.14
DIMET,2024,14,74,74,100.0
DIMET,2025,6,48,54,88.89
DIMET,2026,N/A,N/A,N/A,N/A
DITTO,2021,N/A,N/A,N/A,N/A
DITTO,2022,N/A,N/A,N/A,N/A
DITTO,2023,7,59,65,90.77
DITTO,2024,6,58,59,98.31
DITTO,2025,6,58,60,96.67
DITTO,2026,N/A,N/A,N/A,N/A
DMT,2021,N/A,N/A,N/A,N/A
DMT,2022,8,97,100,97.0
DMT,2023,5,54,55,98.18
DMT,2024,7,77,77,100.0
DMT,2025,6,66,66,100.0
DMT,2026,N/A,N/A,N/A,N/A
DOD,2021,N/A,N/A,N/A,N/A
DOD,2022,11,72,72,100.0
DOD,2023,14,84,84,100.0
DOD,2024,13,72,72,100.0
DOD,2025,11,66,66,100.0
DOD,2026,N/A,N/A,N/A,N/A
DOHOME,2021,N/A,N/A,N/A,N/A
DOHOME,2022,4,30,35,85.71
DOHOME,2023,4,31,32,96.88
DOHOME,2024,4,32,32,100.0
DOHOME,2025,5,43,44,97.73
DOHOME,2026,N/A,N/A,N/A,N/A
DPAINT,2021,N/A,N/A,N/A,N/A
DPAINT,2022,N/A,N/A,N/A,N/A
DPAINT,2023,N/A,N/A,N/A,N/A
DPAINT,2024,N/A,N/A,N/A,N/A
DPAINT,2025,N/A,N/A,N/A,N/A
DPAINT,2026,N/A,N/A,N/A,N/A
DREIT,2021,N/A,N/A,N/A,N/A
DREIT,2022,2,14,16,87.5
DREIT,2023,8,38,42,90.48
DREIT,2024,7,42,42,100.0
DREIT,2025,7,42,42,100.0
DREIT,2026,N/A,N/A,N/A,N/A
DRT,2021,N/A,N/A,N/A,N/A
DRT,2022,12,137,144,95.14
DRT,2023,12,138,144,95.83
DRT,2024,12,137,144,95.14
DRT,2025,13,152,156,97.44
DRT,2026,N/A,N/A,N/A,N/A
DTCENT,2021,N/A,N/A,N/A,N/A
DTCENT,2022,5,65,65,100.0
DTCENT,2023,4,48,51,94.12
DTCENT,2024,7,83,84,98.81
DTCENT,2025,4,46,48,95.83
DTCENT,2026,N/A,N/A,N/A,N/A
DTCI,2021,N/A,N/A,N/A,N/A
DTCI,2022,4,29,36,80.56
DTCI,2023,N/A,N/A,N/A,N/A
DTCI,2024,N/A,N/A,N/A,N/A
DTCI,2025,N/A,N/A,N/A,N/A
DTCI,2026,N/A,N/A,N/A,N/A
DUSIT,2021,N/A,N/A,N/A,N/A
DUSIT,2022,11,127,134,94.78
DUSIT,2023,11,120,132,90.91
DUSIT,2024,12,139,144,96.53
DUSIT,2025,15,148,166,89.16
DUSIT,2026,N/A,N/A,N/A,N/A
D,2021,N/A,N/A,N/A,N/A
D,2022,4,32,32,100.0
D,2023,5,40,40,100.0
D,2024,4,31,32,96.88
D,2025,4,32,32,100.0
D,2026,N/A,N/A,N/A,N/A
EASON,2021,N/A,N/A,N/A,N/A
EASON,2022,4,36,36,100.0
EASON,2023,4,36,36,100.0
EASON,2024,5,44,45,97.78
EASON,2025,4,36,36,100.0
EASON,2026,N/A,N/A,N/A,N/A
EASTW,2021,N/A,N/A,N/A,N/A
EASTW,2022,15,174,178,97.75
EASTW,2023,15,154,161,95.65
EASTW,2024,18,193,206,93.69
EASTW,2025,17,181,189,95.77
EASTW,2026,N/A,N/A,N/A,N/A
EAST,2021,N/A,N/A,N/A,N/A
EAST,2022,4,36,40,90.0
EAST,2023,5,45,50,90.0
EAST,2024,5,44,50,88.0
EAST,2025,3,40,57,70.18
EAST,2026,N/A,N/A,N/A,N/A
EA,2021,N/A,N/A,N/A,N/A
EA,2022,8,75,86,87.21
EA,2023,8,77,85,90.59
EA,2024,19,188,215,87.44
EA,2025,14,149,164,90.85
EA,2026,N/A,N/A,N/A,N/A
ECF,2021,N/A,N/A,N/A,N/A
ECF,2022,7,34,35,97.14
ECF,2023,7,55,56,98.21
ECF,2024,8,56,64,87.5
ECF,2025,N/A,N/A,N/A,N/A
ECF,2026,N/A,N/A,N/A,N/A
EFORL,2021,N/A,N/A,N/A,N/A
EFORL,2022,12,76,84,90.48
EFORL,2023,9,55,63,87.3
EFORL,2024,12,76,83,91.57
EFORL,2025,10,61,65,93.85
EFORL,2026,N/A,N/A,N/A,N/A
EGCO,2021,N/A,N/A,N/A,N/A
EGCO,2022,13,198,199,99.5
EGCO,2023,19,277,282,98.23
EGCO,2024,14,204,206,99.03
EGCO,2025,14,210,210,100.0
EGCO,2026,N/A,N/A,N/A,N/A
EKH,2021,N/A,N/A,N/A,N/A
EKH,2022,7,76,77,98.7
EKH,2023,5,54,55,98.18
EKH,2024,5,54,55,98.18
EKH,2025,N/A,N/A,N/A,N/A
EKH,2026,N/A,N/A,N/A,N/A
EMC,2021,N/A,N/A,N/A,N/A
EMC,2022,7,59,70,84.29
EMC,2023,N/A,N/A,N/A,N/A
EMC,2024,8,63,71,88.73
EMC,2025,N/A,N/A,N/A,N/A
EMC,2026,N/A,N/A,N/A,N/A
EMPIRE,2021,N/A,N/A,N/A,N/A
EMPIRE,2022,5,30,30,100.0
EMPIRE,2023,4,24,24,100.0
EMPIRE,2024,4,24,24,100.0
EMPIRE,2025,12,73,75,97.33
EMPIRE,2026,N/A,N/A,N/A,N/A
EPG,2021,N/A,N/A,N/A,N/A
EPG,2022,N/A,N/A,N/A,N/A
EPG,2023,7,41,42,97.62
EPG,2024,8,76,80,95.0
EPG,2025,6,57,60,95.0
EPG,2026,N/A,N/A,N/A,N/A
EP,2021,N/A,N/A,N/A,N/A
EP,2022,7,60,60,100.0
EP,2023,N/A,N/A,N/A,N/A
EP,2024,9,68,68,100.0
EP,2025,8,66,67,98.51
EP,2026,N/A,N/A,N/A,N/A
ERW,2021,N/A,N/A,N/A,N/A
ERW,2022,13,136,143,95.1
ERW,2023,7,78,81,96.3
ERW,2024,9,98,99,98.99
ERW,2025,8,92,94,97.87
ERW,2026,N/A,N/A,N/A,N/A
ESTAR,2021,N/A,N/A,N/A,N/A
ESTAR,2022,6,65,66,98.48
ESTAR,2023,8,86,101,85.15
ESTAR,2024,8,86,88,97.73
ESTAR,2025,7,79,82,96.34
ESTAR,2026,N/A,N/A,N/A,N/A
ETC,2021,N/A,N/A,N/A,N/A
ETC,2022,6,54,54,100.0
ETC,2023,7,63,63,100.0
ETC,2024,6,48,48,100.0
ETC,2025,7,62,62,100.0
ETC,2026,N/A,N/A,N/A,N/A
ETE,2021,N/A,N/A,N/A,N/A
ETE,2022,5,45,45,100.0
ETE,2023,5,46,46,100.0
ETE,2024,4,35,36,97.22
ETE,2025,N/A,N/A,N/A,N/A
ETE,2026,N/A,N/A,N/A,N/A
ETL,2021,N/A,N/A,N/A,N/A
ETL,2022,N/A,N/A,N/A,N/A
ETL,2023,9,72,72,100.0
ETL,2024,7,53,54,98.15
ETL,2025,9,69,69,100.0
ETL,2026,N/A,N/A,N/A,N/A
EURO,2021,N/A,N/A,N/A,N/A
EURO,2022,N/A,N/A,N/A,N/A
EURO,2023,5,37,40,92.5
EURO,2024,5,38,40,95.0
EURO,2025,5,36,40,90.0
EURO,2026,N/A,N/A,N/A,N/A
EVER,2021,N/A,N/A,N/A,N/A
EVER,2022,N/A,N/A,N/A,N/A
EVER,2023,10,49,60,81.67
EVER,2024,12,53,60,88.33
EVER,2025,15,69,75,92.0
EVER,2026,N/A,N/A,N/A,N/A
FANCY,2021,N/A,N/A,N/A,N/A
FANCY,2022,N/A,N/A,N/A,N/A
FANCY,2023,N/A,N/A,N/A,N/A
FANCY,2024,N/A,N/A,N/A,N/A
FANCY,2025,N/A,N/A,N/A,N/A
FANCY,2026,N/A,N/A,N/A,N/A
FE,2021,N/A,N/A,N/A,N/A
FE,2022,9,123,126,97.62
FE,2023,9,117,126,92.86
FE,2024,6,83,87,95.4
FE,2025,6,85,90,94.44
FE,2026,N/A,N/A,N/A,N/A
FLOYD,2021,N/A,N/A,N/A,N/A
FLOYD,2022,1,7,7,100.0
FLOYD,2023,4,7,7,100.0
FLOYD,2024,5,28,28,100.0
FLOYD,2025,4,28,28,100.0
FLOYD,2026,N/A,N/A,N/A,N/A
FMT,2021,N/A,N/A,N/A,N/A
FMT,2022,5,64,67,95.52
FMT,2023,4,47,52,90.38
FMT,2024,4,48,53,90.57
FMT,2025,4,47,49,95.92
FMT,2026,N/A,N/A,N/A,N/A
FNS,2021,N/A,N/A,N/A,N/A
FNS,2022,7,36,39,92.31
FNS,2023,10,48,50,96.0
FNS,2024,8,40,40,100.0
FNS,2025,7,41,42,97.62
FNS,2026,N/A,N/A,N/A,N/A
FN,2021,N/A,N/A,N/A,N/A
FN,2022,11,105,107,98.13
FN,2023,8,70,74,94.59
FN,2024,5,43,45,95.56
FN,2025,7,54,57,94.74
FN,2026,N/A,N/A,N/A,N/A
FORTH,2021,N/A,N/A,N/A,N/A
FORTH,2022,7,69,70,98.57
FORTH,2023,8,79,88,89.77
FORTH,2024,7,70,70,100.0
FORTH,2025,6,64,66,96.97
